agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_ipeds_count
38,I,1359,2,A,0,0,5,N,0,A,0,18456,27860,38048,160,24293,45207,63935,150,29529,47260,81175,85,382,249,124,1,1,1,1,1,1,1
38,I,1359,3,A,0,0,5,N,0,A,0,22224,37916,55844,918,28403,42926,61113,757,31212,45480,63280,377,1674,1096,512,1,1,1,1,1,1,1
38,I,1360,1,A,0,0,5,N,0,A,0,,,,,,,,,,,,,,,,5,5,-1,-1,-1,-1,3
38,I,1360,5,A,0,0,3,N,0,A,0,23914,33275,45151,25350,32691,44995,59774,15025,38835,54165,75277,7415,39554,29769,13265,1,1,1,1,1,1,1
38,I,1360,7,A,0,0,5,N,0,A,0,33200,40785,49817,507,,,,,,,,,550,,,1,1,-1,-1,-1,-1,1
38,I,1361,1,A,0,0,5,N,0,A,0,20243,31915,45121,409,28203,39446,57839,297,36272,48935,69033,158,1213,700,343,1,1,1,1,1,1,1
38,I,1361,2,A,0,0,5,N,0,A,0,19088,27087,38018,445,29127,41094,54216,395,30363,44055,66508,218,791,607,373,1,1,1,1,1,1,1
38,I,1361,3,A,0,0,5,N,0,A,0,17129,24569,35653,1248,26385,36142,48710,1455,30190,42643,59672,755,3368,2120,1159,1,1,1,1,1,1,1
38,I,1362,1,A,0,0,5,N,0,A,0,18644,25507,37340,818,23381,36090,55158,761,27367,39762,60678,321,3000,1914,774,1,1,1,1,1,1,1
38,I,1362,2,A,0,0,5,N,0,A,0,19794,28197,37314,607,27217,38686,55061,459,28272,42682,60736,242,1071,677,398,1,1,1,1,1,1,1
38,I,1362,3,A,0,0,5,N,0,A,0,17950,26983,46184,944,23686,33380,48262,1127,28792,39412,54548,574,2574,1650,822,1,1,1,1,1,1,1
38,I,1365,5,A,0,0,3,N,0,A,0,22248,31827,43874,6989,30524,40813,55093,4460,36315,48353,66505,2441,11575,8964,4434,1,1,1,1,1,1,1
38,I,1365,7,A,0,0,5,N,0,A,0,36533,49136,70099,662,46134,68074,89719,310,50074,73904,117572,111,1144,598,246,1,1,1,1,1,1,1
38,I,1368,1,A,0,0,5,N,0,A,0,18249,25878,40226,972,23001,32824,49392,624,26629,40603,58057,328,2557,1325,659,1,1,1,1,1,1,1
38,I,1368,2,A,0,0,5,N,0,A,0,18967,25992,36555,1232,25160,37128,54822,1045,28731,42796,65610,463,2751,1709,799,1,1,1,1,1,1,1
